,store_name,street_address,borough,zip_code,bbl,latitude,longitude
315,Bridge Deli & Grocery,1861,Brooklyn,11212,3037120001.0,40.670686,-73.904064
316,Eye Deli & Grocery,1540,Brooklyn,11212,3034890120.0,40.672108,-73.911243
317,Family Express Deli & Grocery,112,Brooklyn,11212,3034890250.0,40.670289,-73.90803
318,Golden Deli,1569,Brooklyn,11212,3014610027.0,40.672599,-73.910121
319,New Friends Gourmet Deli,1788,Brooklyn,11212,3035250017.0,40.670222,-73.907074
320,Yoha Mini Market,78,Brooklyn,11212,3034890228.0,40.670019,-73.909865
321,Pitikin Ave Deli & Grocery,1801,Brooklyn,11212,3037090032.0,40.670326,-73.906487
322,Ideal Food Basket,1488,Brooklyn,11212,3035130033.0,40.668494,-73.91872
323,Caba Deli Grocery,1419,Brooklyn,11212,3014720025.0,40.67024,-73.915567
324,El Cibao,38,Brooklyn,11212,3034940028.0,40.669062,-73.915457
325,Shop Fair Supermarket,256,Brooklyn,11212,3035900016.0,40.662618,-73.908433
326,Food Bazaar,417,Brooklyn,11212,3037980025.0,40.664415,-73.901629
327,Pioneer Supermarket,455,Brooklyn,11212,3037470001.0,40.668324,-73.90233
328,Airon Food Market,44,Brooklyn,11212,3038600001.0,40.657215,-73.903452
329,Giselle Mini Market,1697,Brooklyn,11212,3014440041.0,40.674615,-73.905514
330,Powell Supermarket,323,Brooklyn,11212,3037800020.0,40.666434,-73.90314
331,Green Village Meat Farm,229,Brooklyn,11212,3035650015.0,40.662211,-73.919589
332,Anabelle Deli Grocery,2121,New York,10029,1016590021.0,40.792729,-73.940913
333,Cherry Gourmet Deli,1575,New York,10029,1016280050.0,40.78874,-73.948825
334,Cherry Valley Supermarket,1968,New York,10029,1016730001.0,40.787585,-73.944655
335,Dave’s Gourmet,1944,New York,10029,1016940007.0,40.786124,-73.942594
336,Family 1st Deli,2105,New York,10029,1016800023.0,40.791007,-73.939069
337,Gold Deli,126,New York,10029,1016300061.0,40.790581,-73.948343
338,L&O Deli Grocery,1618,New York,10029,1016140014.0,40.795008,-73.948495
339,La Constenita Grocery,2175,New York,10029,1016610027.0,40.794249,-73.939799
340,Luna Food Market,2121,New York,10029,1016810023.0,40.791658,-73.938591
341,Lucky Corner Deli & Pro,2137,New York,10029,1016590028.0,40.793056,-73.94067
342,Mr. Moe’s Deli,2001,New York,10029,1016590045.0,40.793985,-73.942905
