,building_id,borough,street_name,house_number,project_id,latitude,longitude
2432,983834.0,Brooklyn,ATLANTIC AVENUE,50,66901,40.691216,-73.997898
2433,983835.0,Brooklyn,ATLANTIC AVENUE,15,66901,40.691817,-74.0
2434,,Bronx,----,----,67156,,
2435,967870.0,Brooklyn,KINGS HIGHWAY,2812,67338,40.614918,-73.946368
2436,40385.0,Manhattan,WEST 132 STREET,10,67339,40.811124,-73.939683
2437,970805.0,Brooklyn,WYTHE AVENUE,292,59464,40.716125,-73.964082
2438,,Brooklyn,----,----,67152,,
2439,,Brooklyn,----,----,67146,,
2440,,Staten Island,----,----,67145,,
2441,969468.0,Brooklyn,BOX STREET,325,67340,,
2442,982005.0,Manhattan,WEST 28 STREET,225,66702,40.747629,-73.994265
2443,,Brooklyn,----,----,67159,,
2444,,Brooklyn,----,----,66986,,
2445,,Queens,----,----,66983,,
2446,,Bronx,----,----,66987,,
2447,,Staten Island,----,----,66981,,
2448,970721.0,Brooklyn,WILLOUGHBY  AVENUE,961,67342,40.697934,-73.930502
2449,957179.0,Manhattan,3 AVENUE,1693,67343,40.784417,-73.949883
2450,976874.0,Brooklyn,FULTON STREET,1134,66268,40.681088,-73.95548
2451,,Staten Island,----,----,66977,,
2452,,Bronx,----,----,66974,,
2453,974996.0,Brooklyn,JOHNSON AVENUE,246,67345,40.706993,-73.938857
2454,979744.0,Brooklyn,KENT AVENUE,260,65774,40.716375,-73.96594
2455,969456.0,Brooklyn,BUSHWICK AVENUE,690,67346,40.696872,-73.931488
2456,,Brooklyn,----,----,66889,,
2457,12002.0,Manhattan,EAST 13 STREET,620,65541,40.728458,-73.977865
2458,,Queens,----,----,66848,,
2459,59140.0,Bronx,CRESTON AVENUE,1985,65357,40.851002,-73.906428
2460,59142.0,Bronx,CRESTON AVENUE,1995,65357,40.851229,-73.906221
2461,60441.0,Bronx,DAVIDSON AVENUE,1789,65357,40.849041,-73.912561
2462,60442.0,Bronx,DAVIDSON AVENUE,1800,65357,40.849261,-73.91238
2463,60444.0,Bronx,DAVIDSON AVENUE,1815,65357,40.849464,-73.912264
2464,60446.0,Bronx,DAVIDSON AVENUE,1821,65357,40.849738,-73.912039
2465,60447.0,Bronx,DAVIDSON AVENUE,1824,65357,40.849752,-73.912
2466,74905.0,Bronx,ECHO PLACE,264,65357,40.849583,-73.903976
2467,94338.0,Bronx,MARION AVENUE,2474,65357,40.860726,-73.893689
2468,97492.0,Bronx,MORRIS AVENUE,2038,65357,40.852851,-73.905861
2469,97493.0,Bronx,MORRIS AVENUE,2042,65357,40.852966,-73.905756
