,prevailing_wage_status,low_income_units,middle_income_units,moderate_income_units,extremely_low_income_units,very_low_income_units,project_id
424,Non Prevailing Wage,0,0,0,0,8,69020
425,Non Prevailing Wage,1,0,0,0,7,69020
426,Non Prevailing Wage,7,0,0,0,42,69020
427,Non Prevailing Wage,5,0,0,1,25,69020
428,Non Prevailing Wage,9,0,0,0,22,69020
429,Non Prevailing Wage,3,0,0,0,17,69020
430,Non Prevailing Wage,0,0,0,0,7,69020
431,Non Prevailing Wage,9,0,0,2,40,69020
432,Non Prevailing Wage,162,0,108,163,108,63772
433,Non Prevailing Wage,215,0,0,0,0,65499
434,Non Prevailing Wage,87,0,0,46,48,66751
435,Non Prevailing Wage,0,0,0,31,10,66940
436,Non Prevailing Wage,0,0,25,0,0,70534
437,Non Prevailing Wage,0,0,20,0,74,69230
438,Non Prevailing Wage,0,0,4,0,0,67357
439,Non Prevailing Wage,0,0,25,0,0,67357
440,Non Prevailing Wage,0,0,20,0,0,67357
441,Non Prevailing Wage,0,0,20,0,0,67357
442,Non Prevailing Wage,10,0,0,158,22,70077
443,Non Prevailing Wage,0,3,0,0,0,70533
444,Non Prevailing Wage,79,0,0,44,36,65304
445,Non Prevailing Wage,0,0,0,95,4,66722
446,Non Prevailing Wage,129,0,0,71,60,66879
447,Non Prevailing Wage,41,0,0,111,18,67599
448,Non Prevailing Wage,27,0,0,45,15,68125
449,Non Prevailing Wage,31,0,0,48,3,68125
450,Prevailing Wage,0,0,0,187,0,68132
451,Prevailing Wage,0,0,0,220,0,68160
452,Non Prevailing Wage,14,0,0,113,32,68741
453,Non Prevailing Wage,17,0,0,113,32,68741
454,Non Prevailing Wage,0,14,0,0,0,70531
455,Non Prevailing Wage,0,6,0,0,0,70532
456,Non Prevailing Wage,1,0,0,0,0,70489
457,Non Prevailing Wage,1,0,0,0,0,70490
458,Non Prevailing Wage,0,18,0,0,0,70527
459,Non Prevailing Wage,0,3,0,0,0,70529
460,Non Prevailing Wage,9,0,0,34,31,68733
461,Non Prevailing Wage,0,2,0,0,0,70525
462,Non Prevailing Wage,0,3,0,0,0,70526
463,Non Prevailing Wage,0,3,0,0,0,70526
464,Non Prevailing Wage,0,2,0,0,0,70523
465,Non Prevailing Wage,0,3,0,0,0,70524
466,Non Prevailing Wage,0,0,0,0,326,68782
467,Non Prevailing Wage,0,32,0,0,0,70521
468,Non Prevailing Wage,0,6,0,0,0,70522
469,Non Prevailing Wage,7,2,0,0,7,67539
470,Non Prevailing Wage,2,0,0,74,18,69502
471,Non Prevailing Wage,194,0,0,0,118,69877
472,Non Prevailing Wage,253,0,0,0,59,69877
473,Non Prevailing Wage,253,0,0,0,59,69877
474,Non Prevailing Wage,179,0,0,0,133,69877
475,Non Prevailing Wage,233,0,0,0,79,69877
476,Non Prevailing Wage,254,0,0,0,58,69877
477,Non Prevailing Wage,1,5,3,0,6,69484
478,Non Prevailing Wage,1,5,1,0,7,69484
479,Non Prevailing Wage,1,10,1,2,2,69484
480,Non Prevailing Wage,0,9,2,0,1,69484
481,Non Prevailing Wage,0,8,3,3,1,69484
482,Non Prevailing Wage,0,10,2,1,3,69484
483,Non Prevailing Wage,0,9,4,0,2,69484
484,Non Prevailing Wage,2,4,2,1,3,69484
485,Non Prevailing Wage,2,5,4,1,3,69484
486,Non Prevailing Wage,2,7,4,1,2,69484
487,Non Prevailing Wage,4,2,3,0,2,69484
488,Non Prevailing Wage,4,7,4,0,2,69484
489,Non Prevailing Wage,2,10,1,2,1,69484
490,Non Prevailing Wage,1,4,2,0,1,69484
491,Non Prevailing Wage,5,0,0,0,0,68409
492,Non Prevailing Wage,0,0,0,0,0,68409
493,Non Prevailing Wage,0,0,0,0,0,68409
494,Non Prevailing Wage,1,0,0,0,0,70480
495,Non Prevailing Wage,0,0,5,0,0,65467
496,Non Prevailing Wage,0,0,7,0,7,65467
497,Non Prevailing Wage,0,0,6,0,3,65467
498,Non Prevailing Wage,0,0,6,0,4,65467
499,Non Prevailing Wage,1,0,0,0,0,70479
500,Non Prevailing Wage,0,5,0,0,0,70520
501,Non Prevailing Wage,0,3,0,0,0,70519
502,Non Prevailing Wage,25,0,4,0,6,69284
503,Non Prevailing Wage,30,0,10,1,6,69284
504,Non Prevailing Wage,2,0,15,1,4,69284
505,Non Prevailing Wage,2,0,18,0,2,69284
506,Non Prevailing Wage,6,0,37,0,11,69284
